table_name,column_name,type,notes,related_tables,related_columns,edge_definition,alias_definition
significant_intercepts,report_number,TEXT,FK to general_information,,,,
significant_intercepts,from_m,TEXT,Starting depth of intercept (m),,,,
significant_intercepts,to_m,NUMERIC,Ending depth of intercept (m),,,,
significant_intercepts,interval_m,NUMERIC,Length of intercept (m),,,,
significant_intercepts,"Commodity name (e.g., Gold, Copper)",NUMERIC,grade,,,,
significant_intercepts,commodity,TEXT,"Grade value (e.g., 1.2)",,,,
significant_intercepts,"Unit of grade (e.g., g/t, %, ppm)",NUMERIC,lithology,,,,
significant_intercepts,unit,TEXT,Rock type where intercept occurred,,,,
significant_intercepts,alteration,TEXT,"Described alteration (e.g., sericitic)",,,,
significant_intercepts,mineralization_type,TEXT,"Type (e.g., vein, disseminated)",,,,
significant_intercepts,zone,TEXT,Deposit or drill target zone name,,,,
significant_intercepts,hole_purpose,TEXT,"Purpose (e.g., infill, step-out)",,,,
significant_intercepts,date_reported,TEXT,Date of reporting (from document),,,,
significant_intercepts,633,DATE,634,,,,
qps_table,report_number,TEXT (PK),FK to general_information,,,,
qps_table,Campaign start date,TEXT,Campaign end date,,,,
qps_table,start_date,DATE,purpose,,,,
qps_table,end_date,DATE,"Purpose of campaign (e.g., Infill, Step-out)",,,,
qps_table,drill_type,TEXT,"Type of drilling (e.g., Diamond, RC)",,,,
qps_table,metres_drilled,TEXT,Total metres drilled in campaign,,,,
qps_table,number_of_holes,NUMERIC,Number of drill holes completed,,,,
qps_table,area_targeted,INTEGER,Named area or zone targeted,,,,
qps_table,status,TEXT,Completed or Ongoing,,,,
qps_table,notable_intercepts_reported,TEXT,Whether significant results were reported,,,,
qps_table,target_name,BOOLEAN,Exploration target name or label,,,,
resource_table,report_number,TEXT (PK),Links to general_information,,,,
resource_table,report_number_B,text,Target report number,,,,
resource_table,source_report,TEXT,"e.g., report A",,,,
resource_table,target_report,TEXT,"e.g., report B",,,,
resource_table,relationship_type,TEXT,"e.g., ""similar metallurgy"", ""shared jurisdiction""",,,,
cost_financial_parameters,report_number,TEXT (PK),Links to general_information,,,,
cost_financial_parameters,name,TEXT,Qualified Person's full name,,,,
cost_financial_parameters,designation,TEXT,"Designation (e.g., P.Eng., Ph.D., etc.)",,,,
cost_financial_parameters,field_of_expertise,TEXT,"Field of expertise (e.g., Mining Engineer, Geologist)",,,,
cost_financial_parameters,company,TEXT,Company or consulting firm,,,,
critical_minerals_project_info,report_number,TEXT (PK),Links to general_information,,,,
critical_minerals_project_info,exploration_classification,TEXT,"Exploration or Reserve classification (e.g., Mineral Resource_C1, Mineral Reserve_C2)",,,,
critical_minerals_project_info,measure,TEXT,"Measurement category (e.g., Inferred, Grade, etc.)",,,,
critical_minerals_project_info,commodity,TEXT,"Commodity type (e.g., Gold, Lithium)",,,,
critical_minerals_project_info,deposit,TEXT,Deposit name or number,,,,
critical_minerals_project_info,value,NUMERIC,Extracted or calculated value,,,,
critical_minerals_project_info,unit,TEXT,"Unit of measurement (e.g., g/t, tonnes, %)",,,,
critical_minerals_exctracted_sc,report_number,TEXT (PK),Links to general_information,,,,
critical_minerals_exctracted_sc,category,TEXT,"Cost category (e.g., CAPEX, OPEX, Revenue)",,,,
critical_minerals_exctracted_sc,parameter,TEXT,"Specific financial parameter (e.g., Total Revenue)",,,,
critical_minerals_exctracted_sc,currency,TEXT,"Currency type (e.g., USD)",,,,
critical_minerals_exctracted_sc,value,NUMERIC,Value of the parameter,,,,
critical_minerals_exctracted_sc,unit,TEXT,"Unit of measurement (e.g., Million, /t processed, NA)",,,,
critical_minerals_metallurgy_sc,report_number,TEXT (PK),Links to general_information,,,,
critical_minerals_metallurgy_sc,project_name,TEXT,Extracted from report,,,,
critical_minerals_metallurgy_sc,report_year,INT,Year of report (parsed from effective/filing date),,,,
critical_minerals_metallurgy_sc,commodity_focus,TEXT,Primary commodity,,,,
critical_minerals_metallurgy_sc,deposit_type,TEXT,From geology section,,,,
critical_minerals_metallurgy_sc,geological_model,TEXT,Summary of geological model,,,,
critical_minerals_market_risk,report_number,TEXT (PK),FK to general_information,,,,
critical_minerals_market_risk,mineral_name,TEXT,"Name of mineral (e.g., Gold, Antimony)",,,,
critical_minerals_market_risk,classification,TEXT,"One of: Primary, Co-Product, By-Product, Trace Potential, Critical, Security-Sensitive",,,,
critical_minerals_market_risk,geological_association,TEXT,Host mineralization info,,,,
critical_minerals_market_risk,mentioned_in_section,TEXT,"Where in the report it is mentioned (e.g., Resource Section)",,,,
critical_minerals_market_risk,economic_potential,TEXT,"e.g., 'Primary revenue driver', 'Impurity', etc.",,,,
cost_table,report_number,TEXT (PK),FK to general_information,,,,
cost_table,processing_method,TEXT,"Heap leach, flotation, etc.",,,,
cost_table,recovery_rates,TEXT,Include as structured string or JSON if needed,,,,
cost_table,penalties_impurities,TEXT,"E.g., arsenic, antimony",,,,
cost_table,byproduct_recovery_potential,TEXT,Notes on economic recovery potential,,,,
financial_table,report_number,TEXT (PK),FK to general_information,,,,
financial_table,has_critical_minerals,BOOLEAN,If any minerals in the report are listed on critical lists,,,,
financial_table,has_security_sensitive_minerals,BOOLEAN,If any minerals are China-dominated or under export controls,,,,
financial_table,government_incentives,TEXT,"Mentioned incentives for development, if any",,,,
financial_metrics_table,report_number,TEXT (PK),FK to general_information,,,,
financial_metrics_table,total_initial_direct_capex,NUMERIC,Total initial direct capital expenditure,,,,
financial_metrics_table,total_initial_direct_capex_unit,TEXT,Unit for total initial direct capex,,,,
financial_metrics_table,total_initial_indirect_capex,NUMERIC,Total initial direct capital expenditure,,,,
financial_metrics_table,total_initial_indirect_capex_unit,TEXT,Unit for total initial direct capex,,,,
financial_metrics_table,total_sustaining_capex,NUMERIC,Total sustaining capital expenditure,,,,
financial_metrics_table,total_sustaining_capex_unit,TEXT,Unit for sustaining capex,,,,
financial_metrics_table,total_initial_overall_capex,NUMERIC,"Total initial overall capex (includes direct, indirect, contingency)",,,,
financial_metrics_table,total_initial_overall_capex_unit,TEXT,Unit for overall capex,,,,
financial_metrics_table,closure_cost,NUMERIC,Closure cost,,,,
financial_metrics_table,closure_cost_unit,TEXT,Unit for closure cost,,,,
financial_metrics_table,mining_and_development_initial_direct_capex,NUMERIC,mining and mine development initial direct capital expenditure,,,,
financial_metrics_table,mining_and_development_initial_direct_capex_unit,TEXT,Unit for mining and mine development initial direct capex,,,,
financial_metrics_table,process_plant_initial_direct_capex,NUMERIC,process plant initial direct capital expenditure,,,,
financial_metrics_table,process_plant_initial_direct_capex_unit,TEXT,Unit for process plant initial direct capex,,,,
financial_metrics_table,tailings_initial_direct_capex,NUMERIC,tailings initial direct capital expenditure,,,,
financial_metrics_table,tailings_initial_direct_capex_unit,TEXT,Unit for tailings initial direct capex,,,,
financial_metrics_table,infrastructure_initial_direct_capex,NUMERIC,infrastructure initial direct capital expenditure,,,,
financial_metrics_table,infrastructure_initial_direct_capex_unit,TEXT,Unit for infrastructure initial direct capex,,,,
financial_metrics_table,total_opex,NUMERIC,Total operating expenditure,,,,
financial_metrics_table,total_opex_unit,TEXT,Unit for total OPEX,,,,
financial_metrics_table,opex_usd_per_tonne_processed,NUMERIC,OPEX per tonne processed,,,,
financial_metrics_table,opex_usd_per_tonne_processed_unit,TEXT,Unit for OPEX/t processed,,,,
financial_metrics_table,opex_usd_per_tonne_mined,NUMERIC,OPEX per tonne mined,,,,
financial_metrics_table,opex_usd_per_tonne_mined_unit,TEXT,Unit for OPEX/t mined,,,,
financial_metrics_table,opex_usd_per_tonne_lce,NUMERIC,OPEX per tonne LCE produced,,,,
financial_metrics_table,opex_usd_per_tonne_lce_unit,TEXT,Unit for OPEX/t LCE,,,,
financial_metrics_table,process_plant_opex,NUMERIC,Operating expenditure for the processing facility,,,,
financial_metrics_table,process_plant_opex_unit,TEXT,Unit for process OPEX,,,,
financial_metrics_table,open_pit_mining_opex,NUMERIC,Operating expenditure for the open pit mining,,,,
financial_metrics_table,open_pit_mining_opex_unit,TEXT,Unit for open pit mining OPEX,,,,
financial_metrics_table,underground_mining_opex,NUMERIC,Operating expenditure for the underground mining,,,,
financial_metrics_table,underground_mining_opex_unit,TEXT,Unit for underground mining OPEX,,,,
financial_metrics_table,total_mining_opex,NUMERIC,Operating expenditure for mining,,,,
financial_metrics_table,total_mining_opex_unit,TEXT,Unit for mining OPEX,,,,
financial_metrics_table,tailings_opex,NUMERIC,Operating expenditure for the tailings processing,,,,
financial_metrics_table,tailings_opex_unit,TEXT,Unit for tailings OPEX,,,,
conversion_rates_table,report_number,TEXT (PK),FK to general_information,,,,
conversion_rates_table,npv_pre_tax,NUMERIC,Net Present Value (pre-tax),,,,
conversion_rates_table,npv_pre_tax_unit,TEXT,Currency or unit for pre-tax NPV,,,,
conversion_rates_table,npv_post_tax,NUMERIC,Net Present Value (post-tax),,,,
conversion_rates_table,npv_post_tax_unit,TEXT,Currency or unit for post-tax NPV,,,,
conversion_rates_table,npv_discount_rate,NUMERIC,Discount rate used in NPV calculations,,,,
conversion_rates_table,npv_discount_rate_unit,TEXT,Unit for discount rate,,,,
conversion_rates_table,irr_pre_tax,NUMERIC,Internal Rate of Return (pre-tax),,,,
conversion_rates_table,irr_pre_tax_unit,TEXT,Unit for pre-tax IRR,,,,
conversion_rates_table,irr_post_tax,NUMERIC,Internal Rate of Return (post-tax),,,,
conversion_rates_table,irr_post_tax_unit,TEXT,Unit for post-tax IRR,,,,
conversion_rates_table,payback_pre_tax,NUMERIC,Payback period (pre-tax),,,,
conversion_rates_table,payback_pre_tax_unit,TEXT,Unit for payback,,,,
conversion_rates_table,payback_post_tax,NUMERIC,Payback period (post-tax),,,,
conversion_rates_table,payback_post_tax_unit,TEXT,Unit for payback,,,,
conversion_rates_table,revenue_lom,NUMERIC,Revenue over Life of Mine,,,,
conversion_rates_table,revenue_lom_unit,TEXT,Currency or unit for revenue,,,,
conversion_rates_table,cash_flow,NUMERIC,Cash flow value,,,,
conversion_rates_table,cash_flow_unit,TEXT,Currency or unit for cash flow,,,,
conversion_rates_table,lom_years,NUMERIC,Life of Mine duration,,,,
conversion_rates_table,lom_years_unit,TEXT,"Unit for LOM (e.g., years)",,,,
conversion_rates_table,average_cash_cost,NUMERIC,Average cash cost,,,,
conversion_rates_table,average_cash_cost_unit,TEXT,Unit for average cash cost,,,,
conversion_rates_table,aisc,NUMERIC,All-in sustaining cost (AISC),,,,
conversion_rates_table,aisc_unit,TEXT,Unit for AISC,,,,
conversion_rates_table,sensitivity_most_sensitive_to,NUMERIC,Most sensitive metric from sensitivity analysis,,,,
conversion_rates_table,sensitivity_impact_unit,TEXT,Unit or category of sensitivity impact,,,,
conversion_rates_table,currency_used,NUMERIC,Currency used for values,,,,
conversion_rates_table,currency_to_cad,TEXT,Conversion rate to CAD,,,,
conversion_rates_table,currency_to_usd,NUMERIC,Conversion rate to USD,,,,
metal_price_table,report_number,TEXT (PK),FK to general_information,,,,
metal_price_table,metric,TEXT,"Metric or risk description (e.g., Sensitivity to Gold Price)",,,,
metal_price_table,value,NUMERIC,Associated value,,,,
metal_price_table,unit,TEXT,"Unit (e.g., USD/oz, NA)",,,,
metal_price_table,cad_per_unit,NUMERIC,CAD equivalent value,,,,
metal_price_table,usd_per_unit,NUMERIC,USD equivalent value,,,,
layout_summary,report_number,TEXT (PK),FK to general_information,,,,
layout_summary,term,TEXT,"Conversion term (e.g., Currency/CAD, Currency/USD)",,,,
layout_summary,currency,TEXT,"Currency pair (e.g., CAD/USD)",,,,
layout_summary,value,NUMERIC,Conversion rate or value,,,,
layout_summary,currency_cad,NUMERIC,Currency/CAD,,,,
layout_summary,currency_usd,NUMERIC,Currency/USD,,,,
layout_facilities,report_number,TEXT (PK),FK to general_information,,,,
layout_facilities,metal_mineral,TEXT,"Name of the metal or mineral (e.g., Gold, Copper)",,,,
layout_facilities,value,NUMERIC,Price value,,,,
layout_facilities,currency_or_unit,TEXT,"Currency or unit (e.g., USD/oz, USD/t)",,,,
layout_facilities,cad_per_unit,NUMERIC,CAD equivalent metal price,,,,
layout_facilities,usd_per_unit,NUMERIC,USD equivalent metal price,,,,
infrastructure_distances,report_number,TEXT (PK),FK to general_information,,,,
infrastructure_distances,has_process_plant,BOOLEAN,Process plant present in layout,,,,
infrastructure_distances,has_primary_crusher,BOOLEAN,Primary crusher present,,,,
infrastructure_distances,has_secondary_crusher,BOOLEAN,Secondary crusher present,,,,
infrastructure_distances,has_tertiary_crusher,BOOLEAN,Tertiary crusher present,,,,
infrastructure_distances,has_tailings_dam,BOOLEAN,Tailings dam present,,,,
infrastructure_distances,has_dry_stack,BOOLEAN,Dry stack stockpile present,,,,
infrastructure_distances,has_heap_leach,BOOLEAN,Heap leaching facility present,,,,
infrastructure_distances,has_underground,BOOLEAN,Underground entrance exists,,,,
infrastructure_distances,has_shaft,BOOLEAN,Shaft infrastructure exists,,,,
infrastructure_distances,has_substation,BOOLEAN,Substation exists,,,,
infrastructure_distances,has_camp,BOOLEAN,Camp infrastructure exists,,,,
infrastructure_distances,has_truck_shop,BOOLEAN,Truck shop exists,,,,
infrastructure_distances,has_ore_sorting,BOOLEAN,Ore sorting present,,,,
infrastructure_distances,has_solar_power,BOOLEAN,Onsite solar power generation present,,,,
infrastructure_distances,has_wind_power,BOOLEAN,Onsite wind power generation present,,,,
infrastructure_distances,has_natural_gas_power,BOOLEAN,Onsite natural gas power generation present,,,,
infrastructure_distances,has_lng_power,BOOLEAN,Onsite liquified natural gas power generation present,,,,
infrastructure_distances,has_water_treatment,BOOLEAN,Onsite water treatment facility present,,,,
infrastructure_distances,has_nuclear,BOOLEAN,Onsite nuclear power generation present,,,,
infrastructure_distances,has_carbon_sequestration,BOOLEAN,Onsite carbon sequestration present,,,,
infrastructure_distances,number_of_open_pits,INT,Total number of open pits,,,,
infrastructure_distances,number_of_underground_mines,INT,Total number of underground mines,,,,
infrastructure_distances,camp_capacity_people,INT,Camp capacity (people),,,,
infrastructure_distances,camp_description,TEXT,Brief camp description,,,,
infrastructure_distances,truck_shop_bays,INT,Number of truck shop bays,,,,
infrastructure_distances,truck_shop_description,TEXT,Brief truck shop description,,,,
building_list,report_number,TEXT (PK),FK to general_information,,,,
building_list,facility_type,TEXT,"Facility type (e.g., Process Plant, Tailings Dam)",,,,
building_list,coordinates,TEXT,Coordinates if available (UTM or Lat/Long),,,,
building_list,footprint_m2,NUMERIC,Footprint in square meters,,,,
building_list,capacity,NUMERIC,"Capacity if applicable (people, MW, etc.)",,,,
building_list,description,TEXT,Optional descriptive notes,,,,
process_parameters,report_number,TEXT (PK),FK to general_information,,,,
process_parameters,from_infrastructure,TEXT,"Starting infrastructure type (e.g., Open Pit)",,,,
process_parameters,to_infrastructure,TEXT,"Destination infrastructure (e.g., Process Plant)",,,,
process_parameters,distance_km,NUMERIC,Distance along road/path in kilometers,,,,
process_equipment,report_number,TEXT (PK),FK to general_information,,,,
process_equipment,building_name,TEXT,Building or facility name,,,,
process_equipment,building_type,TEXT,"Type of construction (e.g., prefabricated, modular)",,,,
process_equipment,footprint_m2,NUMERIC,Footprint area in square meters,,,,
process_equipment,length_m,NUMERIC,Length in meters,,,,
process_equipment,width_m,NUMERIC,Width in meters,,,,
process_equipment,height_m,NUMERIC,Height in meters,,,,
process_equipment,foundation_type,TEXT,"Foundation type (e.g., Concrete, Steel Frame)",,,,
process_equipment,heated,BOOLEAN,Heated (Yes/No),,,,
process_equipment,ventilated,BOOLEAN,Ventilated (Yes/No),,,,
process_recovery,report_number,TEXT (PK),FK to general_information,,,,
process_recovery,primary_crushing_tpd,NUMERIC,Primary crushing throughput (tpd),,,,
process_recovery,primary_crushing_mtpa,NUMERIC,Primary crushing throughput (mtpa),,,,
process_recovery,secondary_crushing_tpd,NUMERIC,Secondary crushing throughput (tpd),,,,
process_recovery,secondary_crushing_mtpa,NUMERIC,Secondary crushing throughput (mtpa),,,,
process_recovery,ore_sorting_tpd,NUMERIC,Ore sorting throughput (tpd),,,,
process_recovery,ore_sorting_mtpa,NUMERIC,Ore sorting throughput (mtpa),,,,
process_recovery,plant_feed_tpd,NUMERIC,Plant feed throughput (tpd),,,,
process_recovery,plant_feed_mtpa,NUMERIC,Plant feed throughput (mtpa),,,,
process_recovery,tailings_tpd,NUMERIC,Tailings throughput (tpd),,,,
process_recovery,tailings_mtpa,NUMERIC,Tailings throughput (mtpa),,,,
process_recovery,metal_production_rate_tpd,NUMERIC,Metal production rate (tpd),,,,
process_recovery,metal_production_rate_mtpa,NUMERIC,Metal production rate (mtpa),,,,
process_recovery,process_summary,TEXT,Summary of the overall process,,,,
process_recovery,comminution_config,TEXT,Comminution circuit configuration,,,,
process_recovery,milling_config,TEXT,Milling configuration,,,,
process_recovery,metal_recovery_method,TEXT,Method of metal recovery,,,,
process_recovery,tailings_deposition_method,TEXT,Method of tailings deposition,,,,
process_recovery,special_processing,TEXT,Any special processing features,,,,
process_recovery,processing_offsite,TEXT,Whether processing is done offsite,,,,
process_recovery,off_taker_type,TEXT,Type of off-taker,,,,
process_recovery,water_treatment_summary,TEXT,Summary of water treatment facility,,,,
process_recovery,head_grade,NUMERIC,Head grade,,,,
process_recovery,head_grade_unit,TEXT,Unit for head grade,,,,
process_recovery,recovery_rate,NUMERIC,Recovery rate,,,,
process_recovery,recovery_rate_unit,TEXT,Unit for recovery rate,,,,
process_recovery,concentrate_production,NUMERIC,Concentrate production,,,,
process_recovery,concentrate_production_unit,TEXT,Unit for concentrate production,,,,
process_recovery,concentrate_grade,NUMERIC,Concentrate grade,,,,
process_recovery,concentrate_grade_unit,TEXT,Unit for concentrate grade,,,,
process_recovery,heap_leach_cycle_days,NUMERIC,Primary leaching cycle (days),,,,
process_recovery,power_total_mw,NUMERIC,Total power demand (MW),,,,
process_recovery,bond_work_index_kwhpt,NUMERIC,Bond Work Index (kWh/t),,,,
process_recovery,crusher_work_index,NUMERIC,Crusher Work Index,,,,
process_recovery,mill_installed_power_mw,NUMERIC,Mill installed power (MW),,,,
process_recovery,mill_drawn_power_mw,NUMERIC,Mill drawn power (MW),,,,
process_recovery,ore_specific_gravity,NUMERIC,Ore specific gravity,,,,
process_recovery,sag_power_index_spi,NUMERIC,SAG Power Index (SPI),,,,
process_recovery,jaw_cone_css,NUMERIC,Jaw/Cone Crusher Close Side Setting (CSS),,,,
process_recovery,gyratory_oss,NUMERIC,Gyratory Crusher Open Side Setting (OSS),,,,
process_recovery,primary_crushing_reduction_ratio,NUMERIC,Primary crushing reduction ratio,,,,
process_recovery,secondary_crushing_reduction_ratio,NUMERIC,Secondary crushing reduction ratio,,,,
process_recovery,tertiary_crushing_reduction_ratio,NUMERIC,Tertiary crushing reduction ratio,,,,
process_recovery,average_circulating_load,NUMERIC,Average circulating load,,,,
process_recovery,average_mill_load,NUMERIC,Average mill load,,,,
mining_rates,report_number,TEXT (PK),FK to general_information,,,,
mining_rates,equipment_type,TEXT,"Main equipment type (e.g., Crusher, Mill, Filter)",,,,
mining_rates,equipment_subtype,TEXT,"Subtype (e.g., Jaw, Cone, SAG)",,,,
mining_rates,equipment_size,FLOAT,Size or capacity of the equipment,,,,
mining_rates,equipment_unit,TEXT,"Unit of equipment size (e.g., mm, MW, tpd)",,,,
mining_rates,equipment_quantity,INTEGER,Number of units,,,,
mining_rates,manufacturer,TEXT,Equipment manufacturer if stated,,,,
mining_rates,location_or_section,TEXT,Plant section or circuit this equipment is part of,,,,
mining_rates,nominal_throughput,FLOAT,Nominal throughput (typical capacity),,,,
mining_rates,nominal_throughput_unit,TEXT,"Unit for nominal throughput (e.g., t/h, tpd)",,,,
mining_rates,peak_throughput,FLOAT,Peak throughput (if provided),,,,
mining_rates,peak_throughput_unit,TEXT,Unit for peak throughput,,,,
mining_rates,power_demand,FLOAT,Power demand of equipment,,,,
mining_rates,power_demand_unit,TEXT,Unit for power (usually MW),,,,
mining_rates,location,TEXT,"Location (eg. Mill building, Underground, etc.)",,,,
mining_rates,notes,TEXT,Any descriptive notes or unique features,,,,
mining_general,report_number,TEXT (PK),FK to general_information,,,,
mining_general,metal,TEXT,"Metal or mineral recovered (e.g., Au, Cu, Zn)",,,,
mining_general,product_type,TEXT,"Type (e.g., primary, by-product, trace)",,,,
mining_general,head_grade,FLOAT,Head grade value,,,,
mining_general,head_grade_unit,TEXT,"Head grade unit (e.g., g/t, %)",,,,
mining_general,recovery_rate,FLOAT,Recovery efficiency for the metal,,,,
mining_general,recovery_rate_unit,TEXT,Unit for recovery (typically %),,,,
mining_general,concentrate_grade,FLOAT,Grade of concentrate,,,,
mining_general,concentrate_grade_unit,TEXT,Unit for concentrate grade,,,,
mining_general,concentrate_production,FLOAT,Total production amount,,,,
mining_general,concentrate_production_unit,TEXT,"Unit of production (e.g., t/year, oz/year)",,,,
mining_general,notes,TEXT,Other remarks or metallurgical notes,,,,
mining_equipment,report_number,TEXT (PK),FK to general_information,,,,
mining_equipment,rate_driver,TEXT,"Driver of the mining rate (e.g., Mining Rate, Ore Mined, Waste Mined)",,,,
mining_equipment,daily_tpd,FLOAT,Daily rate in tonnes per day (tpd),,,,
mining_equipment,annual_tpy,FLOAT,Annual rate in tonnes per year (tpy),,,,
mining_equipment,total_lom_t,FLOAT,Total over life of mine in tonnes,,,,
cost_drivers,report_number,TEXT (PK),FK to general_information,,,,
cost_drivers,mine_name,TEXT,"Mine or deposit name. If more than one underground mine is present, a unique mine name or number to be applied to each",,,,
cost_drivers,year_mining_commences,TEXT,"Relative year mining starts (e.g., Year 1)",,,,
cost_drivers,calendar_year_mining_commences,INTEGER,Absolute calendar year when mining begins,,,,
cost_drivers,stripping_ratio,TEXT,Stripping ratio,,,,
cost_drivers,mining_type,TEXT,Type of mining (Open Pit or Underground),,,,
cost_drivers,mine_description,TEXT,"1-2 sentence description of mine (descripe the mining type such as eg. block caving, scoop and shovel, etc.)",,,,
cost_drivers,annual_ore_tpy,FLOAT,Annual ore mined in tonnes per year,,,,
cost_drivers,annual_waste_tpy,FLOAT,Annual waste mined in tonnes per year,,,,
cost_drivers,underground_mine_depth_m,FLOAT,Depth of underground mine in meters,,,,
cost_drivers,shaft_depth_m,FLOAT,Depth of shaft in meters,,,,
cost_drivers,lom_ore_t,FLOAT,life of mine ore mined in tonnes,,,,
cost_drivers,lom_waste_t,FLOAT,life of mine waste mined in tonnes,,,,
schedule,report_number,TEXT (PK),FK to general_information,,,,
schedule,equipment_type,TEXT,General equipment category,,,,
schedule,equipment_subtype,TEXT,"Specific type (e.g., Jaw, Cone, Dozer)",,,,
schedule,equipment_size,FLOAT,Equipment size or capacity,,,,
schedule,equipment_unit,TEXT,"Unit of size (e.g., kW, t)",,,,
schedule,equipment_quantity,INTEGER,Number of units,,,,
schedule,manufacturer,TEXT,Equipment manufacturer if known,,,,
schedule,throughput,FLOAT,Nominal throughput,,,,
schedule,throughput_unit,TEXT,"Unit of throughput (e.g., tpd, m3/min)",,,,
schedule,location,TEXT,"Location (e.g., Underground, Surface)",,,,
long_lead,report_number,TEXT (PK),FK to general_information,,,,
long_lead,cost_driver_category,TEXT,"Main cost category (e.g., Earthworks, Mining, Concrete)",,,,
long_lead,cost_driver_subtype,TEXT,Subtype or breakdown of the cost driver if applicable,,,,
long_lead,unit_cost_value,"NUMERIC(18,6)",Raw numeric value for the unit cost,,,,
long_lead,unit_cost_unit,TEXT,"Unit for the unit cost (e.g., USD/t, $/mÂ³)",,,,
long_lead,quantity_value,"NUMERIC(18,6)",Quantity value associated with the cost,,,,
long_lead,quantity_unit,TEXT,"Unit of the quantity (e.g., tonnes, mÂ³, hours)",,,,
long_lead,original_currency,TEXT,Original currency if not in USD,,,,
long_lead,conversion_to_usd_rate,"NUMERIC(12,6)",Conversion rate to USD if original currency is not USD,,,,
long_lead,source_reference,TEXT,"Reference to the source in the report (e.g., section/page)",,,,
long_lead,comments,TEXT,Additional notes or context for clarity,,,,
long_lead,created_at,TIMESTAMP,Record creation timestamp,,,,
environmental,report_number,TEXT (PK),FK to general_information,,,,
environmental,schedule_item,TEXT,"High-level milestone item (e.g., Feasibility Study, EIA Permit, etc.)",,,,
environmental,start_date,DATE,Start date of the schedule item,,,,
environmental,end_date,DATE,End date of the schedule item,,,,
relationships,report_number,TEXT (PK),Unique ID generated in Excel or Python,,,,
relationships,company_name,text,From project_list,,,,
relationships,date_filed,date,From project_list,,,,
relationships,document_type,text,From project_list,,,,
relationships,project_name,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,country,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,province,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,district,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,state,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,effective_date,date,"Micro-prompt to openai-pinecone. Currently text, should be date",,,,
relationships,original_filing_date,date,Micro-prompt to openai-pinecone,,,,
relationships,project_study_phase,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,high_level_summary,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,location_coordinates,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,report_type,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,commodity,TEXT[],former_project_names,,,,
relationships,language,TEXT,Micro-prompt to openai-pinecone,,,,
relationships,Python from project_list document_type,,aws_s3_path,,,,
relationships,S3 location of PDF,TEXT,pinecone_namespace,,,,
relationships,Name of Pinecone namespace (same as report_number),TEXT,upload_status,,,,
relationships,For pipeline monitoring,TEXT,campaign_name,,,,
relationships,last_updated,TIMESTAMP,"Name of drill campaign (e.g., '2023 Winter Program')",,,,
drill_programs,report_number,TEXT (PK),FK to general_information,,,,
drill_programs,metric,TEXT,"Environmental-related metric (e.g., Permitting Timeline, Closure Cost)",,,,
drill_programs,description,TEXT,Detailed description of the metric,,,,
drill_programs,unit,TEXT,Currency or units associated with the metric,,,,
lithology_alteration_summary,report_number,TEXT (PK),FK to general_information,,,,
lithology_alteration_summary,risk_type,TEXT,"Type of risk (geotechnical, economic, environmental)",,,,
lithology_alteration_summary,quantified_impact,TEXT,"Quantified or described impact (e.g., % change in IRR for gold price drop)",,,,
lithology_alteration_summary,mitigation_strategy,TEXT,"Mitigation strategy as stated in the report, if any",,,,
risks,report_number,TEXT (PK),FK to general_information,,,,
risks,long_lead_item,TEXT,"Long lead procurement item (e.g., Primary Crusher, Mill, etc.)",,,,
risks,start_date,DATE,Start date of the procurement or delivery,,,,
risks,end_date,DATE,End date of the procurement or delivery,,,,
general_information,report_number,TEXT,FK to general_information,,,,
general_information,target_type,TEXT,"Type of target (e.g., geophysical anomaly)",,,,
general_information,year_first_drilled,TEXT,First year drilling occurred at this target,,,,
general_information,resource_defined,INTEGER,Whether included in a mineral resource estimate,,,,
general_information,drill_results_supportive,BOOLEAN,Whether results were supportive of target,,,,
general_information,description_summary,BOOLEAN,"Summary of evolution, interpretation, or work",,,,
general_information,dominant_lithologies,TEXT,Primary rock types reported,,,,
unknown_table_3,report_number,TEXT (PK),FK to general_information,,,,
unknown_table_3,alteration_types,TEXT,"Common alteration styles (e.g., chlorite, silica)",,,,
unknown_table_3,vein_types,TEXT,Description of vein textures or minerals,,,,
unknown_table_3,host_rock,TEXT,Host rock to mineralization,,,,
unknown_table_3,structural_controls,TEXT,Structural features controlling mineralization,,,,
unknown_table_3,deposit_model,TEXT,"Deposit classification (e.g., epithermal, VMS)",,,,
unknown_table_3,mineral_associations,TEXT,Key minerals associated with mineralization,,,,
unknown_table_3,hole_id,TEXT,Drillhole name or identifier,,,,
